Date,Private Housing Starts 
Aug-82,117.3
Sep-82,111.9
Oct-82,123.6
Nov-82,96.9
Dec-82,76.1
Jan-83,72.5
Feb-83,89.9
Mar-83,118.4
Apr-83,137.2
May-83,147.9
Jun-83,154.2
Jul-83,136.6
Aug-83,145.9
Sep-83,151.8
Oct-83,148.4
Nov-83,127.1
Dec-83,107.4
Jan-84,81.3
Feb-84,112.5
Mar-84,173.6
Apr-84,182.2
May-84,201.3
Jun-84,197.6
Jul-84,189.8
Aug-84,194
Sep-84,177.7
Oct-84,193.1
Nov-84,154.8
Dec-84,129.2
Jan-85,88.6
Feb-85,101.3
Mar-85,172.1
Apr-85,197.5
May-85,211
Jun-85,216
Jul-85,192.2
Aug-85,190.9
Sep-85,180.5
Oct-85,192.1
Nov-85,158.6
Dec-85,119.5
Jan-86,88.2
Feb-86,84.5
Mar-86,152.9
Apr-86,161
May-86,189.1
Jun-86,191.8
Jul-86,164.2
Aug-86,170.3
Sep-86,163.7
Oct-86,169
Nov-86,118.7
Dec-86,91.6
Jan-87,73.1
Feb-87,79.9
Mar-87,85.1
Apr-87,96.2
May-87,91.7
Jun-87,116.4
Jul-87,120.1
Aug-87,129.9
Sep-87,138.3
Oct-87,152.7
Nov-87,112.9
Dec-87,95.9
Jan-88,84.5
Feb-88,71.9
Mar-88,107.8
Apr-88,123
May-88,109.9
Jun-88,105.8
Jul-88,99.9
Aug-88,86.3
Sep-88,84.1
Oct-88,87.2
Nov-88,64.6
Dec-88,59.1
Jan-89,47.2
Feb-89,51.3
Mar-89,78.2
Apr-89,84.1
May-89,98.8
Jun-89,91.1
Jul-89,106.8
Aug-89,96
Sep-89,106.4
Oct-89,110.5
Nov-89,108.9
Dec-89,82.9
Jan-90,91.3
Feb-90,96.3
Mar-90,134.6
Apr-90,135.8
May-90,174.9
Jun-90,173.2
Jul-90,161.6
Aug-90,176.8
Sep-90,154.9
Oct-90,159.3
Nov-90,136
Dec-90,108.3
Jan-91,109.1
Feb-91,130
Mar-91,137.5
Apr-91,172.7
May-91,180.7
Jun-91,184
Jul-91,162.1
Aug-91,147.4
Sep-91,148.5
Oct-91,152.3
Nov-91,126.2
Dec-91,98.9
Jan-92,105.4
Feb-92,95.4
Mar-92,145
Apr-92,175.8
May-92,170.2
Jun-92,163.2
Jul-92,160.7
Aug-92,160.7
Sep-92,147.7
Oct-92,173
Nov-92,124.1
Dec-92,120.5
Jan-93,115.6
Feb-93,107.2
Mar-93,151
Apr-93,188.2
May-93,186.6
Jun-93,183.6
Jul-93,172
Aug-93,163.8
Sep-93,154
Oct-93,154.8
Nov-93,115.6
Dec-93,113
Jan-94,105.1
Feb-94,102.8
Mar-94,141.2
Apr-94,159.3
May-94,158
Jun-94,162.9
Jul-94,152.4
Aug-94,143.6
Sep-94,152
Oct-94,139.1
Nov-94,118.8
Dec-94,85.4
Jan-95,78.2
Feb-95,90.2
Mar-95,128.8
Apr-95,153.2
May-95,140.2
Jun-95,150.2
Jul-95,137
Aug-95,136.8
Sep-95,131.1
Oct-95,135.1
Nov-95,113
Dec-95,94.2
Jan-96,100.1
Feb-96,85.8
Mar-96,117.8
Apr-96,129.4
May-96,131.7
Jun-96,143.2
Jul-96,134.7
Aug-96,122.4
Sep-96,109.3
Oct-96,130.1
Nov-96,96.6
Dec-96,75
Jan-97,99.2
Feb-97,86.9
Mar-97,108.5
Apr-97,119
May-97,121.1
Jun-97,117.8
Jul-97,111.2
Aug-97,102.8
Sep-97,93.1
Oct-97,94.2
Nov-97,81.4
Dec-97,57.4
Jan-98,52.5
Feb-98,59.1
Mar-98,73.8
Apr-98,99.7
May-98,97.7
Jun-98,103.4
Jul-98,103.5
Aug-98,94.7
Sep-98,86.6
